ID,GlideNumber,Country,OtherCountry,long,lat,Area,Began,Ended,Validation,Dead,Displaced,MainCause,Severity
692,0,Pakistan,India,79.068,28.3907,873375.01,08-09-92,18-09-92,News,2750,3000000,Monsoonal rain,2
3226,TC-2007-000208-BGD,Bangladesh,0,90.1508,22.6104,31641.92,15-11-07,01-12-07,News,3447,3000000,Tropical cyclone,1
179,0,Chinaÿ,0,118.907,26.9901,40595.03,19-05-88,28-05-88,News,125,2800000,Heavy rain,1
1766,0,Bangladesh,India,89.5736,25.9309,190726.68,31-07-01,01-09-01,News,36,2750000,Monsoonal rain,1
767,0,China,0,115.918,36.4802,112505.67,04-08-93,23-08-93,News,101,2577000,Torrential rain,1
2921,FL-2006-000098-PHI,Philippines,China,112.108,24.0035,612225.68,11-07-06,19-07-06,News,629,2450000,Tropical Cyclone,2
3678,0,China,0,113.171,28.0056,575176.16,01-07-10,15-07-10,0,600,2400000,Torrential Rain,1
3651,FL-2010-000122-CHN,China,0,115.483,26.4442,234212.72,15-05-10,28-06-10,0,379,2370000,Monsoonal Rain,1.5
1094,0,Bangladesh,0,89.9688,23.0267,69103.34,19-07-96,02-08-96,News,50,2300000,Monsoonal rain,1
1428,0,China,0,123.35,46.5755,620830.18,08-08-98,14-09-98,News,89,2160000,Heavy rain,2
3987,,India,,93.6379,26.8031,42597.57,19-09-12,15-10-12,News,21,2000000,Monsoonal Rain,2
190,0,Indiaÿ,0,92.926,26.988,70501.83,21-06-88,14-07-88,News,34,2000000,Heavy rain,1
4069,,India,,94.9182,27.387,38019.26,23-06-13,15-07-13,News,80,2000000,Monsoonal Rain,2
1474,0,Vietnam,0,107.967,15.6947,10722.75,19-11-98,24-11-98,News,90,2000000,Tropical cyclone,1
217,0,Sudan,,34.1974,15.0782,354132.25,05-08-88,10-09-88,News,91,2000000,Heavy rain,2
1747,0,Indiaÿ,0,84.7987,21.0559,105057.29,08-07-01,10-08-01,News,100,2000000,Monsoonal rain,2
961,0,Bangladesh,0,90.2429,25.1211,68353.34,16-06-95,23-06-95,News,105,2000000,Monsoonal rain,1
867,0,China,0,125.126,46.1544,1066165.02,23-07-94,13-08-94,News,128,2000000,Heavy rain,2
2940,FL-2006-000117-IND,India,0,81.5288,18.1046,302774.27,01-08-06,10-09-06,News,185,2000000,Monsoonal rain,1
2951,FL-2006-000125-THA,Thailand,0,100.017,18.7645,213081.28,20-08-06,13-12-06,News,195,2000000,Monsoonal rain,2
35,0,China,0,125.156,42.6953,994498.21,20-07-85,02-09-85,News,200,2000000,Tropical cyclone,2
897,0,Thailand,0,104.452,16.1885,65261.15,03-09-94,18-12-94,News,407,2000000,Heavy rain,2
